,open,high,low,close,volume,value
2022-05-31 21:01:00+00:00,39830000.0,39875000.0,39830000.0,39875000.0,1.46318328,58336819.58246
2022-05-31 21:02:00+00:00,39875000.0,39876000.0,39874000.0,39875000.0,1.17831092,46985936.56004
2022-05-31 21:03:00+00:00,39875000.0,39876000.0,39874000.0,39874000.0,0.70242744,28009289.98913
2022-05-31 21:04:00+00:00,39875000.0,39875000.0,39840000.0,39842000.0,2.02274608,80631965.9888
2022-05-31 21:05:00+00:00,39842000.0,39874000.0,39840000.0,39873000.0,0.92377301,36810148.28483
2022-05-31 21:06:00+00:00,39840000.0,39873000.0,39840000.0,39842000.0,0.42653494,16999088.25694
2022-05-31 21:07:00+00:00,39868000.0,39869000.0,39844000.0,39868000.0,1.19615417,47686738.63669
2022-05-31 21:08:00+00:00,39868000.0,39874000.0,39851000.0,39868000.0,1.65278995,65894886.37865
2022-05-31 21:09:00+00:00,39868000.0,39874000.0,39868000.0,39871000.0,0.78671204,31366883.72027
2022-05-31 21:10:00+00:00,39872000.0,39874000.0,39851000.0,39852000.0,1.043981,41616694.92324
2022-05-31 21:11:00+00:00,39851000.0,39871000.0,39844000.0,39868000.0,2.37599519,94692843.32658
2022-05-31 21:12:00+00:00,39868000.0,39874000.0,39867000.0,39874000.0,0.46080652,18371955.09856
2022-05-31 21:13:00+00:00,39852000.0,39874000.0,39852000.0,39873000.0,0.27527397,10974499.89158
2022-05-31 21:14:00+00:00,39873000.0,39878000.0,39870000.0,39875000.0,1.75213407,69865881.73125
2022-05-31 21:15:00+00:00,39882000.0,39899000.0,39875000.0,39875000.0,0.98601373,39322501.17722
2022-05-31 21:16:00+00:00,39875000.0,39875000.0,39853000.0,39853000.0,0.60411992,24083982.59284
2022-05-31 21:17:00+00:00,39853000.0,39867000.0,39845000.0,39853000.0,1.24950278,49793700.28334
2022-05-31 21:18:00+00:00,39853000.0,39900000.0,39847000.0,39900000.0,9.15350261,365133812.171
2022-05-31 21:19:00+00:00,39899000.0,39904000.0,39884000.0,39898000.0,2.70752553,108035680.62004
2022-05-31 21:20:00+00:00,39898000.0,39898000.0,39890000.0,39894000.0,1.25211181,49948467.90833
2022-05-31 21:21:00+00:00,39891000.0,39900000.0,39890000.0,39900000.0,0.41346844,16495171.47284
2022-05-31 21:22:00+00:00,39895000.0,39903000.0,39850000.0,39850000.0,1.87202395,74658557.69399
2022-05-31 21:23:00+00:00,39850000.0,39850000.0,39802000.0,39809000.0,4.88230876,194480831.95016
2022-05-31 21:24:00+00:00,39808000.0,39810000.0,39802000.0,39805000.0,1.72834168,68802124.42349
2022-05-31 21:25:00+00:00,39808000.0,39808000.0,39802000.0,39807000.0,1.26300621,50276846.92868
2022-05-31 21:26:00+00:00,39807000.0,39809000.0,39800000.0,39809000.0,0.9767096,38878366.72591
2022-05-31 21:27:00+00:00,39812000.0,39829000.0,39798000.0,39798000.0,3.20018362,127376994.89982
2022-05-31 21:28:00+00:00,39798000.0,39799000.0,39779000.0,39781000.0,2.50885888,99828524.01008
2022-05-31 21:29:00+00:00,39799000.0,39829000.0,39780000.0,39825000.0,6.70505214,266861503.31635
2022-05-31 21:30:00+00:00,39825000.0,39829000.0,39803000.0,39825000.0,0.44325426,17647109.01498
2022-05-31 21:31:00+00:00,39824000.0,39825000.0,39802000.0,39803000.0,2.37254639,94451693.2247
2022-05-31 21:32:00+00:00,39802000.0,39823000.0,39802000.0,39817000.0,0.96440769,38386535.57167
2022-05-31 21:33:00+00:00,39816000.0,39824000.0,39802000.0,39824000.0,0.84345473,33580538.55828
2022-05-31 21:34:00+00:00,39804000.0,39823000.0,39784000.0,39785000.0,1.53486203,61095331.32054
2022-05-31 21:35:00+00:00,39785000.0,39785000.0,39750000.0,39750000.0,4.24646256,168872912.62907
2022-05-31 21:36:00+00:00,39750000.0,39780000.0,39740000.0,39740000.0,9.82892039,390697650.33536
2022-05-31 21:37:00+00:00,39740000.0,39740000.0,39680000.0,39700000.0,9.2285839,366483556.12342
2022-05-31 21:38:00+00:00,39700000.0,39745000.0,39681000.0,39707000.0,3.10551726,123289375.69008
2022-05-31 21:39:00+00:00,39707000.0,39785000.0,39706000.0,39729000.0,2.35907658,93734586.83822
2022-05-31 21:40:00+00:00,39712000.0,39759000.0,39702000.0,39702000.0,2.75322971,109368638.19337
2022-05-31 21:41:00+00:00,39734000.0,39749000.0,39702000.0,39716000.0,2.7387546,108798398.55165
2022-05-31 21:42:00+00:00,39715000.0,39750000.0,39715000.0,39720000.0,2.73080602,108494741.21296
2022-05-31 21:43:00+00:00,39720000.0,39747000.0,39715000.0,39743000.0,3.35151048,133127642.98795
2022-05-31 21:44:00+00:00,39743000.0,39744000.0,39717000.0,39720000.0,1.02917725,40893084.58878
2022-05-31 21:45:00+00:00,39727000.0,39743000.0,39698000.0,39738000.0,10.75967212,427221845.85961
2022-05-31 21:46:00+00:00,39738000.0,39739000.0,39710000.0,39738000.0,0.7430612,29522629.48608
2022-05-31 21:47:00+00:00,39739000.0,39739000.0,39713000.0,39714000.0,0.8279614,32893802.12997
2022-05-31 21:48:00+00:00,39714000.0,39738000.0,39713000.0,39713000.0,2.45299883,97420082.44903
2022-05-31 21:49:00+00:00,39714000.0,39714000.0,39712000.0,39713000.0,3.0092439,119508024.54211
2022-05-31 21:50:00+00:00,39713000.0,39714000.0,39690000.0,39707000.0,3.88384021,154217922.0953
2022-05-31 21:51:00+00:00,39714000.0,39737000.0,39690000.0,39721000.0,2.45730453,97552207.04307
2022-05-31 21:52:00+00:00,39691000.0,39721000.0,39680000.0,39682000.0,3.06069883,121475077.73837
2022-05-31 21:53:00+00:00,39682000.0,39722000.0,39663000.0,39703000.0,2.32104078,92149541.89802
2022-05-31 21:54:00+00:00,39702000.0,39703000.0,39663000.0,39701000.0,2.54973038,101179664.34529
2022-05-31 21:55:00+00:00,39701000.0,39701000.0,39665000.0,39667000.0,1.26973379,50378665.30878
2022-05-31 21:56:00+00:00,39667000.0,39682000.0,39660000.0,39660000.0,2.27172551,90114521.91427
2022-05-31 21:57:00+00:00,39666000.0,39667000.0,39651000.0,39660000.0,5.17455724,205216217.25713
2022-05-31 21:58:00+00:00,39660000.0,39667000.0,39652000.0,39657000.0,2.59060384,102755372.80574
2022-05-31 21:59:00+00:00,39657000.0,39738000.0,39651000.0,39737000.0,5.64140425,223846790.75737
2022-05-31 22:00:00+00:00,39697000.0,39737000.0,39697000.0,39737000.0,0.93905967,37312283.27671
2022-05-31 22:01:00+00:00,39736000.0,39784000.0,39736000.0,39745000.0,4.15057011,164995442.22402
2022-05-31 22:02:00+00:00,39762000.0,39784000.0,39746000.0,39782000.0,1.59302169,63356459.93595
2022-05-31 22:03:00+00:00,39782000.0,39784000.0,39782000.0,39784000.0,1.06979282,42559541.37353
2022-05-31 22:04:00+00:00,39782000.0,39784000.0,39760000.0,39760000.0,1.65452995,65814031.64796
2022-05-31 22:05:00+00:00,39784000.0,39829000.0,39747000.0,39817000.0,3.7068831,147465247.59293
2022-05-31 22:06:00+00:00,39817000.0,39829000.0,39768000.0,39786000.0,1.39256886,55412962.27944
2022-05-31 22:07:00+00:00,39787000.0,39787000.0,39757000.0,39765000.0,7.76911439,308970262.26551
2022-05-31 22:08:00+00:00,39761000.0,39786000.0,39756000.0,39786000.0,3.95286298,157167751.54774
2022-05-31 22:09:00+00:00,39756000.0,39794000.0,39756000.0,39757000.0,3.54467416,140940551.96926
2022-05-31 22:10:00+00:00,39799000.0,39809000.0,39762000.0,39768000.0,3.2347671,128660742.35413
2022-05-31 22:11:00+00:00,39764000.0,39820000.0,39758000.0,39814000.0,6.5548815,260704368.04857
2022-05-31 22:12:00+00:00,39771000.0,39813000.0,39756000.0,39806000.0,2.99278745,119001051.05172
2022-05-31 22:13:00+00:00,39757000.0,39833000.0,39756000.0,39793000.0,2.23692218,89006633.67036
2022-05-31 22:14:00+00:00,39833000.0,39868000.0,39804000.0,39850000.0,3.38586382,134907499.10953
2022-05-31 22:15:00+00:00,39850000.0,39853000.0,39806000.0,39835000.0,0.97519299,38840932.91768
2022-05-31 22:16:00+00:00,39835000.0,39853000.0,39824000.0,39835000.0,2.41776656,96304785.68385
2022-05-31 22:17:00+00:00,39835000.0,39835000.0,39793000.0,39793000.0,3.10269519,123516818.21641
2022-05-31 22:18:00+00:00,39834000.0,39847000.0,39793000.0,39847000.0,0.71483046,28467018.89363
